User;T1Projection;T1Baseline;T2Projection;T2Baseline;T3Projection;T3Baseline;T4Projection;T4Baseline;T5Projection;T5Baseline;T6Projection;T6Baseline;T1Diff;T2Diff;T3Diff;T4Diff;T5Diff;T6Diff
0;1,20179;0,6324192;1,167738;1,4654005;1,676765;2,643263;1,116314;0,7218571;0,91566475;0,9435676;1,2273455;1,416555;0,5693708;-0,2976625;-0,966498;0,3944569;-0,02790285;-0,1892095
1;1,5397075;1,420993;2,732016;2,110827;4,933677;1,26646;1,7102925;1,1773215;1,433175;1,278164;1,631516;2,064494;0,1187145;0,621189;3,667217;0,532971;0,155011;-0,432978
2;1,466879;1,376584;1,36637;1,707561;1,03328;3,109312;1,216392;1,050146;0,8463383;1,61061;1,3154755;1,5992805;0,090295;-0,341191;-2,076032;0,166246;-0,7642717;-0,283805
3;3,446693;1,233259;1,66085;1,6455735;1,3382235;1,2491515;2,2546295;1,877781;1,9164825;1,532924;1,5101885;1,122075;2,213434;0,0152765;0,089072;0,3768485;0,3835585;0,3881135
4;4,7315325;0,9998736;1,682527;1,0539495;4,4371855;4,998877;1,504796;0,72257155;2,1220145;1,176907;1,6003705;1,477132;3,7316589;0,6285775;-0,5616915;0,78222445;0,9451075;0,1232385
5;1,020717;0,95027815;5,943283;1,099684;2,009516;1,7604455;1,3001035;1,3775125;1,4494615;1,571889;1,432361;1,665037;0,07043885;4,843599;0,2490705;-0,077409;-0,1224275;-0,232676
6;1,043502;1,02192165;1,097714;1,200498;1,1995895;1,1147665;0,71106185;1,190275;0,92729885;1,133246;1,18274;1,527434;0,02158035;-0,102784;0,084823;-0,47921315;-0,20594715;-0,344694
7;3,748488;1,586982;2,322315;2,475007;5,403788;3,1205945;1,6836065;1,5104875;1,889237;1,465486;1,843302;1,803564;2,161506;-0,152692;2,2831935;0,173119;0,423751;0,039738
8;2,667343;1,844019;2,0223755;1,38958;3,4095635;3,0827555;0,93322545;1,0882811;1,304551;2,043765;1,2498555;1,766616;0,823324;0,6327955;0,326808;-0,15505565;-0,739214;-0,5167605
9;4,121624;1,122114;1,404796;1,56635;2,6487225;2,716026;1,888725;1,3564045;2,011042;1,83832;1,9865335;1,155548;2,99951;-0,161554;-0,0673035;0,5323205;0,172722;0,8309855
10;2,5550575;1,232576;2,561948;1,2980075;2,897806;1,410127;0,9720347;1,520616;2,122423;1,809859;1,155386;1,531498;1,3224815;1,2639405;1,487679;-0,5485813;0,312564;-0,376112
11;2,7187895;1,399069;1,878174;1,211444;4,472087;3,110538;1,3109895;0,9669786;1,6334425;1,710622;1,2909325;1,5278545;1,3197205;0,66673;1,361549;0,3440109;-0,0771795;-0,236922
12;1,704741;1,832914;4,2489155;5,743135;2,130665;1,165263;1,3186385;1,022341;1,0442275;0,8224277;1,3497605;1,832677;-0,128173;-1,4942195;0,965402;0,2962975;0,2217998;-0,4829165
13;1,4553435;2,599529;2,09916;1,100188;2,786805;2,310344;1,238214;1,166185;1,221656;1,144203;2,0379755;1,86499;-1,1441855;0,998972;0,476461;0,072029;0,077453;0,1729855
14;2,3470795;2,029642;4,421644;3,47619;1,93378;1,599721;1,461636;1,2098925;0,91075825;1,433499;1,4085955;2,908338;0,3174375;0,945454;0,334059;0,2517435;-0,52274075;-1,4997425
15;3,43208;1,162265;3,126381;1,367166;2,665953;2,141611;1,3546545;1,6049625;1,705496;1,5663885;1,516736;1,5944815;2,269815;1,759215;0,524342;-0,250308;0,1391075;-0,0777455
16;1,288578;0,8827812;2,665928;3,121385;1,7328425;2,127475;1,549881;1,010657;1,877526;1,244497;1,555719;3,3780175;0,4057968;-0,455457;-0,3946325;0,539224;0,633029;-1,8222985
17;1,610701;1,1885445;3,3309985;1,332268;6,0455645;3,7324175;1,588257;0,9501315;1,7601845;1,110418;2,105049;1,622157;0,4221565;1,9987305;2,313147;0,6381255;0,6497665;0,482892
18;1,775603;2,643271;1,358189;2,848145;4,512278;5,1038545;1,415322;1,177747;1,721553;1,428165;2,420942;1,721331;-0,867668;-1,489956;-0,5915765;0,237575;0,293388;0,699611
19;1,966146;0,9380515;1,7162625;1,471262;2,082873;0,86044445;1,6053135;1,385354;1,421287;1,171614;1,494407;2,0853095;1,0280945;0,2450005;1,22242855;0,2199595;0,249673;-0,5909025
20;1,638834;1,435574;1,931316;2,149233;2,282212;5,8695105;1,3281495;1,511536;1,7002115;1,471127;1,488246;1,3827115;0,20326;-0,217917;-3,5872985;-0,1833865;0,2290845;0,1055345
21;2,744566;0,9322654;5,075122;1,516613;1,73261;1,466335;1,0998835;1,511536;1,355118;1,07798;1,355231;1,2553475;1,8123006;3,558509;0,266275;-0,4116525;0,277138;0,0998835
22;0,831342;0,96658115;2,9439745;1,766311;1,225787;1,4623445;0,9821534;4,70947;1,7883815;1,527458;1,805174;1,86588;-0,13523915;1,1776635;-0,2365575;-3,7273166;0,2609235;-0,060706
23;0,831342;0,8900389;3,199126;1,1551665;2,471501;1,7878185;1,476915;1,0884475;1,349262;1,277369;1,6163095;1,608754;-0,0586969;2,0439595;0,6836825;0,3884675;0,071893;0,0075555
