User	E1Projection	E1Baseline	E2Projection	E2Baseline	E3Projection	E3Baseline	E4Projection	E4Baseline	E5Projection	E5Baseline	E6Projection	E6Baseline
0	89,28571429	61,45833333	78,28282828	81,69934641	95,83333333	93,42105263	59,84251969	45,58823529	50	55,44554455	66,39344262	82,73381295
1	39,13043478	43,18181818	82,75862069	72,34042553	94,73684211	80,43478261	13,88888889	10,41666667	12,82051282	14,89361702	32,35294118	50
2	76,36363636	71,18644068	79,67479675	93,22033898	93,26923077	91,53846154	47,6744186	45,45454545	39,28571429	59,74025974	61,11111111	76,74418605
3	65	85,91549296	72,09302326	86,44067797	55	77,27272727	7,692307692	19,23076923	14,28571429	13,51351351	8,108108108	28,125
4	87,23404255	93,67088608	79,59183673	86,36363636	78,37837838	87,5	71,42857143	56,32183908	66,66666667	53,44827586	75,75757576	65,78947368
5	38,33333333	43,83561644	90,19607843	80,45977011	70,3125	81,15942029	32,14285714	26,08695652	46,47887324	44	53,44827586	63,15789474
6	50	77,77777778	56,97674419	86,15384615	87,25490196	85,82089552	52,23880597	50	45,79439252	67,94871795	62,60869565	81,65137615
7	88,37209302	78,57142857	79,62962963	97,5	92,72727273	94,28571429	30,43478261	14,28571429	20,58823529	13,88888889	36,66666667	65,71428571
8	76,40449438	74,41860465	88,57142857	82,65306122	91,80327869	95,95959596	55,73770492	42,85714286	45	42,10526316	60,78431373	86,66666667
9	81,63265306	77,5	57,89473684	83,07692308	81,81818182	93,10344828	74,32432432	39,39393939	72,88135593	50,81967213	76,92307692	75,92592593
10	89,04109589	77,95698925	93,6	83,97435897	89,65517241	92,74193548	58,49056604	48,33333333	71,25	48,97959184	73,56321839	72,13114754
11	86,20689655	73,68421053	80,55555556	75,71428571	86,76470588	94,31818182	51,89873418	27,27272727	60,86956522	58,06451613	73,58490566	70
12	82,60869565	76,40449438	93,81443299	95,89041096	96,05263158	94,94949495	33,33333333	37,97468354	44,68085106	68,49315068	64,70588235	77,17391304
13	42,85714286	88,52459016	76,92307692	72,28915663	84	87,64044944	45,65217391	29,62962963	48,91304348	36,84210526	59,09090909	58,97435897
14	87,71929825	78,82352941	93,57798165	94,23076923	93,75	98,9010989	48	20	59,5505618	19,56521739	78,94736842	63,63636364
15	92,13483146	71,42857143	94,23076923	84,53608247	98,9010989	90,50632911	40,29850746	50	48,57142857	52,54237288	58,33333333	68,11594203
16	28,07017544	69,6969697	62,5	90,19607843	44,18604651	97,93814433	25	2,631578947	28,94736842	8	39,28571429	85,71428571
17	67,85714286	82,27848101	90,24390244	80,55555556	83,33333333	85,58558559	43,75	46,59090909	45,94594595	55,45454545	65,51724138	68,29268293
18	60	63,82978723	82,35294118	76,36363636	86,79245283	90,69767442	18	2,222222222	46	16,66666667	71,875	41,66666667
19	29,72972973	72,35772358	51,72413793	83,45864662	52,27272727	89,3129771	73,33333333	40,32258065	54,87804878	61,03896104	65,26315789	70
20	41,66666667	48,48484848	70	67,85714286	75,75757576	95,45454545	69,23076923	0	56,52173913	15	9,090909091	20
21	73,84615385	44,11764706	76,59574468	76,47058824	96,66666667	77,17391304	21,42857143	0	28,57142857	68,03278689	39,65517241	80,95238095
22	90,4109589	79,71014493	85,36585366	81,11111111	96,22641509	94,17475728	36,95652174	64,70588235	31,03448276	54,83870968	50	84,09090909
23	78,26086957	76,33136095	80,51948052	81,53846154	88,63636364	92,5	37,5	46,83544304	6,666666667	59,34065934	41,66666667	69,72477064
