Participant,N1Projeçao,N2Projeçao,N3Projeçao,N4Projeçao,N5Projeçao,N6Projeçao,N1Baseline,N2Baseline,N3Baseline,N4Baseline,N5Baseline,N6Baseline
0,140,198,120,127,120,122,96,153,228,68,101,139
1,23,29,38,36,39,34,44,47,46,48,47,26
2,55,123,104,86,56,72,59,59,130,22,77,86
3,20,43,40,26,35,37,71,59,44,26,37,32
4,47,49,37,63,48,66,79,88,56,87,58,38
5,60,51,64,56,71,58,73,87,69,46,50,38
6,74,86,102,67,107,115,126,65,134,74,78,109
7,43,54,55,23,34,30,42,40,70,21,36,35
8,89,70,122,61,80,51,86,98,99,7,19,30
9,49,19,44,74,59,26,80,65,58,66,61,54
10,73,125,29,53,80,87,186,156,124,60,49,61
11,29,36,68,79,46,53,57,70,88,44,31,60
12,46,97,76,66,47,102,89,73,99,79,73,92
13,7,78,50,46,92,44,61,83,89,54,76,39
14,114,109,48,50,89,57,85,52,91,40,46,11
15,89,104,91,67,35,84,56,97,158,28,59,69
16,57,24,43,16,38,28,66,51,97,38,25,42
17,28,41,24,64,37,29,79,108,111,88,110,41
18,70,51,53,50,50,64,47,55,43,45,36,36
19,37,29,44,45,82,95,123,133,131,62,77,60
20,12,20,33,26,46,33,33,56,44,33,40,35
21,65,47,30,56,56,58,68,51,92,33,122,63
22,73,82,53,46,29,44,69,90,103,17,31,44
23,69,77,88,32,45,48,169,130,160,79,91,109
